City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Fairview,US,40.8126,-73.999,63.63,80,40,8.01,scattered clouds
162,Ghanzi,BW,-21.5667,21.7833,86.23,13,0,13.09,clear sky
163,Teguldet,RU,57.3064,88.1667,45.39,74,100,9.13,light rain
164,Shakiso,ET,5.75,38.9167,63.1,78,100,3.15,overcast clouds
165,Victoria,HK,22.2855,114.1577,94.21,72,25,1.01,scattered clouds
166,Tasiilaq,GL,65.6145,-37.6368,39.36,57,94,2.55,overcast clouds
167,Hilo,US,19.7297,-155.09,76.73,90,90,6.91,moderate rain
168,Port Moresby,PG,-9.4431,147.1797,81.82,83,75,17.27,moderate rain
169,Sisimiut,GL,66.9395,-53.6735,25.45,64,0,9.95,clear sky
170,Sistranda,NO,63.7256,8.834,53.56,80,100,10.45,overcast clouds
171,Labuhan,ID,-6.8844,112.2051,82.92,75,87,8.37,overcast clouds
172,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,12.66,moderate rain
173,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,4.61,light rain
174,Vardo,NO,70.3705,31.1107,46.92,85,99,2.8,overcast clouds
175,Saldanha,ZA,-33.0117,17.9442,60.85,84,27,12.03,scattered clouds
176,Port Hedland,AU,-20.3167,118.5667,89.65,25,0,24.16,clear sky
177,Elizabeth City,US,36.2946,-76.2511,66.22,92,1,6.91,clear sky
178,George,ZA,-33.963,22.4617,62.15,77,75,3.44,broken clouds
179,Deputatskiy,RU,69.3,139.9,29.19,89,100,19.98,overcast clouds
180,Hobyo,SO,5.3505,48.5268,85.39,61,13,22.15,few clouds
181,Dubti,ET,11.7361,41.0853,96.3,23,36,5.84,scattered clouds
182,Boca Do Acre,BR,-8.7522,-67.3978,74.44,72,17,1.88,few clouds
183,Rajbiraj,NP,26.5333,86.75,94.5,50,36,6.71,scattered clouds
184,Dunedin,NZ,-45.8742,170.5036,41.81,75,99,6.71,overcast clouds
185,Vanavara,RU,60.34,102.2797,43.72,64,100,10.76,overcast clouds
186,Saint George,US,37.1041,-113.5841,77.95,35,1,4.0,clear sky
187,Porto Novo,BJ,6.4965,2.6036,75.02,86,100,3.06,overcast clouds
188,Yamada,JP,39.4667,141.95,62.24,75,100,8.41,overcast clouds
189,Ilhabela,BR,-23.7781,-45.3581,65.97,90,5,3.78,clear sky
190,Seydi,TM,39.4816,62.9137,92.64,12,0,10.11,clear sky
191,La Ronge,CA,55.1001,-105.2842,44.85,93,1,2.3,clear sky
192,Yar-Sale,RU,66.8333,70.8333,41.59,55,12,11.03,few clouds
193,Svetlogorsk,BY,52.6333,29.7333,54.54,72,6,13.96,clear sky
194,Moree,AU,-29.4667,149.85,75.22,16,2,6.91,clear sky
195,Xining,CN,36.6167,101.7667,64.9,46,99,9.42,overcast clouds
196,Tessalit,ML,20.1986,1.0114,90.93,10,3,16.71,clear sky
197,Mahebourg,MU,-20.4081,57.7,77.29,65,40,13.8,scattered clouds
198,Santa Fe,AR,-31.6333,-60.7,61.0,82,0,5.01,clear sky
199,Camapua,BR,-19.5314,-54.0439,77.18,37,3,3.24,clear sky
200,Ambilobe,MG,-13.2,49.05,93.38,27,7,7.27,clear sky
201,Tadine,NC,-21.55,167.8833,68.36,62,18,11.03,few clouds
202,Preobrazheniye,RU,42.9019,133.9064,63.97,81,61,4.74,broken clouds
203,Emerald,AU,-23.5333,148.1667,90.99,64,59,4.61,broken clouds
204,Thio,NC,-21.6167,166.2167,69.76,70,46,9.26,scattered clouds
205,Dolores Hidalgo,MX,21.1561,-100.9308,56.86,80,100,5.23,overcast clouds
206,Goianesia,BR,-15.3175,-49.1175,71.96,68,1,1.81,clear sky
207,Hithadhoo,MV,-0.6,73.0833,82.49,75,100,14.9,overcast clouds
208,Havoysund,NO,70.9963,24.6622,47.28,77,13,12.82,few clouds
209,Ribeira Grande,PT,38.5167,-28.7,66.6,88,40,0.0,scattered clouds
210,Pogar,RU,52.554,33.2591,52.36,73,77,15.43,broken clouds
211,Upernavik,GL,72.7868,-56.1549,19.62,61,0,4.7,clear sky
212,Bengkulu,ID,-3.8004,102.2655,76.17,89,100,8.63,overcast clouds
213,Doctor Arroyo,MX,23.6667,-100.1833,61.74,89,83,5.03,broken clouds
214,Namibe,AO,-15.1961,12.1522,63.23,94,90,0.0,overcast clouds
215,Sterling,US,39.0062,-77.4286,63.9,81,40,8.99,scattered clouds
216,Asosa,ET,10.0667,34.5333,62.37,93,100,1.59,overcast clouds
217,Nesbyen,NO,60.5681,9.1027,57.88,77,100,3.4,overcast clouds
218,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,0.0,few clouds
219,Butaritari,KI,3.0707,172.7902,83.17,76,22,12.93,light rain
220,Bethel,US,41.3712,-73.414,61.11,93,20,0.0,few clouds
221,Mahina,PF,-17.5065,-149.489,78.57,65,75,11.5,light rain
222,Samarai,PG,-10.6167,150.6667,79.27,86,59,12.48,broken clouds
223,Gat,IL,31.61,34.7642,86.77,35,0,0.45,clear sky
224,Lebu,CL,-37.6167,-73.65,46.08,85,16,13.98,few clouds
225,Ponta Do Sol,PT,32.6667,-17.1,69.71,72,100,2.84,overcast clouds
226,Puerto Lopez,CO,4.0845,-72.956,69.75,97,97,3.24,overcast clouds
227,Tarko-Sale,RU,64.9225,77.785,42.96,54,6,12.03,clear sky
228,Mabamba,TZ,-3.5983,30.5019,70.79,59,100,5.01,overcast clouds
229,Piacabucu,BR,-10.4056,-36.4344,73.33,88,26,7.47,scattered clouds
230,Tilichiki,RU,60.4667,166.1,41.65,88,100,3.78,overcast clouds
231,Katsuura,JP,35.1333,140.3,72.1,68,100,11.7,light rain
232,Naberera,TZ,-4.2,36.9333,73.62,41,80,12.28,broken clouds
233,Billings,US,45.7833,-108.5007,69.57,24,1,11.5,clear sky
234,Empalme,MX,27.9667,-110.8167,84.85,47,73,4.59,broken clouds
235,Lasa,IT,46.6166,10.7002,60.03,78,38,5.14,scattered clouds
236,Zhanaozen,KZ,43.3,52.8,65.43,38,100,10.25,overcast clouds
237,Howick,ZA,-29.4779,30.2306,70.02,31,20,6.53,few clouds
238,Kruisfontein,ZA,-34.0033,24.7314,66.88,59,92,5.44,overcast clouds
239,San Cristobal,VE,7.7669,-72.225,63.37,95,59,2.75,broken clouds
240,Cabo San Lucas,MX,22.8909,-109.9124,84.51,83,2,3.0,clear sky
241,Cayenne,GF,4.9333,-52.3333,79.09,88,20,0.0,few clouds
242,Paamiut,GL,61.994,-49.6678,33.42,61,4,11.23,clear sky
243,Nanortalik,GL,60.1432,-45.2371,37.09,70,10,6.13,clear sky
244,La Mana,EC,-0.9333,-79.2167,77.9,90,100,0.72,overcast clouds
245,Brawley,US,32.9787,-115.5303,84.09,57,10,4.61,clear sky
246,Olinda,BR,-8.0089,-34.8553,76.73,73,90,10.36,overcast clouds
247,Rogers,US,36.3668,-95.5836,71.31,73,1,1.99,clear sky
248,Tuatapere,NZ,-46.1333,167.6833,42.82,78,45,2.91,scattered clouds
249,Tartus,SY,34.889,35.8866,87.42,38,0,4.29,clear sky
250,Baracoa,CU,20.3467,-74.4958,80.56,81,66,3.58,broken clouds
251,Cherskiy,RU,68.75,161.3,31.3,92,100,10.02,overcast clouds
252,Miquelon,PM,47.0975,-56.3814,57.54,84,100,16.17,overcast clouds
253,Salaga,GH,8.5508,-0.5188,75.02,90,99,5.5,overcast clouds
254,Shilka,RU,51.85,116.0333,50.02,81,100,9.84,overcast clouds
255,Begowal,IN,31.6167,75.5167,87.78,52,0,3.71,clear sky
256,Gorom-Gorom,BF,14.4439,-0.2361,87.19,46,0,9.44,clear sky
257,Ahuimanu,US,21.4447,-157.8378,78.51,77,40,9.22,light rain
258,Ipaba,BR,-19.4136,-42.4194,62.08,85,14,2.26,few clouds
259,Male,MV,4.1748,73.5089,77.38,90,100,22.3,heavy intensity rain
260,Quatre Cocos,MU,-20.2078,57.7625,77.11,70,4,17.52,clear sky
261,Naze,JP,28.3667,129.4833,81.52,80,18,11.14,few clouds
262,Linhares,BR,-19.3911,-40.0722,66.45,79,95,1.68,overcast clouds
263,Ayan,RU,56.45,138.1667,52.63,49,62,12.73,broken clouds
264,Nyurba,RU,63.2842,118.3319,43.65,51,100,10.51,overcast clouds
265,Almaznyy,RU,48.0448,40.045,55.54,68,99,18.45,overcast clouds
266,Ca Mau,VN,9.1769,105.15,84.69,73,100,1.54,overcast clouds
267,Freeport,US,40.6576,-73.5832,66.16,79,1,1.99,clear sky
268,Pisco,PE,-13.7,-76.2167,60.85,88,90,2.3,overcast clouds
269,Haines Junction,CA,60.7522,-137.5108,26.55,86,99,1.14,overcast clouds
270,Datong,CN,40.0936,113.2914,64.17,63,100,6.53,light rain
271,Chara,RU,56.9064,118.2631,43.56,96,100,1.9,light rain
272,Fortuna,US,40.5982,-124.1573,59.41,70,90,0.0,overcast clouds
273,Mar Del Plata,AR,-38.0023,-57.5575,57.0,47,2,11.01,clear sky
274,Faanui,PF,-16.4833,-151.75,79.68,74,23,10.38,few clouds
275,Orlandia,BR,-20.7203,-47.8867,69.94,52,13,5.97,few clouds
276,Karaton,ID,-6.3424,106.1045,91.96,63,99,2.64,overcast clouds
277,Atlantic Beach,US,30.3344,-81.3987,69.82,90,1,0.0,clear sky
278,Dawei,MM,14.0833,98.2,75.67,96,100,3.87,heavy intensity rain
279,Pangnirtung,CA,66.1451,-65.7125,32.04,64,44,2.91,scattered clouds
280,Anton Lizardo,MX,19.05,-95.9833,76.21,76,98,7.43,overcast clouds
281,Saint-Pierre,RE,-21.3393,55.4781,79.29,66,0,29.93,clear sky
282,Rincon,US,32.296,-81.2354,64.85,98,1,0.0,clear sky
283,Caraballeda,VE,10.6112,-66.8522,78.87,94,33,1.14,scattered clouds
284,Wajir,KE,1.7471,40.0573,86.92,41,29,17.65,scattered clouds
285,La Ciotat,FR,43.1748,5.6045,74.46,89,80,9.93,broken clouds
286,Chuncheng,CN,22.1731,111.7886,87.03,70,92,3.78,light rain
287,Narsaq,GL,60.9167,-46.05,32.22,46,6,8.48,clear sky
288,Vagur,FO,61.4732,-6.8119,52.3,90,100,31.81,overcast clouds
289,Erenhot,CN,43.6475,111.9767,69.37,12,15,19.98,few clouds
290,Svolvaer,NO,68.2342,14.5683,50.49,82,100,9.28,overcast clouds
291,Coolum Beach,AU,-26.5333,153.1,70.11,83,88,16.37,overcast clouds
292,Yumen,CN,40.2833,97.2,70.61,19,0,7.83,clear sky
293,Smithers,CA,54.7804,-127.1743,50.32,93,90,2.3,light rain
294,Rosetta,EG,31.4044,30.4164,78.62,54,0,9.51,clear sky
295,Tura,IN,25.5198,90.2201,89.24,65,23,2.89,few clouds
296,Thompson,CA,55.7435,-97.8558,42.96,87,75,0.0,broken clouds
297,Geraldton,AU,-28.7667,114.6,68.41,52,40,19.57,scattered clouds
298,Yangjiang,CN,21.85,111.9667,86.95,74,68,9.1,light rain
299,Ulladulla,AU,-35.35,150.4667,56.3,70,37,3.62,scattered clouds
300,Mangan,IN,27.5167,88.5333,85.51,65,40,6.53,scattered clouds
301,Roma,US,43.2128,-75.4557,59.13,94,90,9.22,overcast clouds
302,Eureka,US,40.8021,-124.1637,59.67,75,75,2.71,broken clouds
303,Almeirim,BR,-1.5233,-52.5817,73.18,91,49,3.56,scattered clouds
304,Bilma,NE,18.6853,12.9164,89.74,19,0,17.6,clear sky
305,Sembe,CG,1.6481,14.5806,76.87,77,95,2.82,overcast clouds
306,Nicoya,CR,10.1483,-85.452,73.24,93,100,1.54,overcast clouds
307,Kaeo,NZ,-35.1,173.7833,59.32,82,100,6.91,overcast clouds
308,Mirnyy,RU,62.5353,113.9611,39.47,59,100,14.65,overcast clouds
309,Sibolga,ID,1.7427,98.7792,81.88,84,100,4.97,light rain
310,Pamplona,ES,42.8169,-1.6432,60.48,88,0,0.0,clear sky
311,Togur,RU,58.3631,82.8265,36.5,93,100,11.45,light rain
312,South Venice,US,27.0531,-82.4243,79.14,94,1,5.75,clear sky
313,Nehe,CN,48.4833,124.8333,64.17,67,99,11.54,overcast clouds
314,Saint Anthony,US,45.0205,-93.218,58.01,60,1,1.99,clear sky
315,Santa Quiteria,BR,-4.3319,-40.1567,74.32,78,41,3.29,scattered clouds
316,Singapore,SG,1.2897,103.8501,91.35,59,40,12.66,scattered clouds
317,Cordoba,AR,-31.4135,-64.1811,67.75,42,0,4.0,clear sky
318,Auki,SB,-8.7676,160.7034,79.92,82,18,4.03,few clouds
319,Saskylakh,RU,71.9167,114.0833,33.6,97,100,15.55,overcast clouds
320,Luderitz,NA,-26.6481,15.1594,69.69,47,6,15.1,clear sky
321,Metro,ID,-5.1131,105.3067,80.31,78,98,1.86,overcast clouds
322,Boissevain,CA,49.2306,-100.0559,61.3,50,85,4.34,overcast clouds
323,Bonfim,BR,3.0833,-59.95,74.95,84,99,3.53,overcast clouds
324,Rio Gallegos,AR,-51.6226,-69.2181,32.05,86,0,14.97,clear sky
325,La Baule-Escoublac,FR,47.2922,-2.364,64.22,95,75,4.61,broken clouds
326,Shahr-E Kord,IR,32.3256,50.8644,73.17,12,0,4.61,clear sky
327,Nioro,GM,13.35,-15.75,77.9,88,88,2.13,overcast clouds
328,Calamar,CO,10.2511,-74.9146,82.35,92,95,2.89,overcast clouds
329,Sitka,US,57.0531,-135.33,46.29,87,75,0.0,broken clouds
330,Elko,US,41.0002,-115.5012,60.64,24,0,5.44,clear sky
331,College,US,64.8569,-147.8028,33.75,86,75,0.0,broken clouds
332,Bom Jesus,BR,-9.0744,-44.3586,71.38,59,1,1.97,clear sky
333,Chulym,RU,55.0997,80.9572,37.27,66,100,12.95,overcast clouds
334,Zaysan,KZ,47.4667,84.8667,61.11,15,9,6.06,clear sky
335,Port Lincoln,AU,-34.7333,135.8667,57.81,63,44,11.9,scattered clouds
336,Oranjemund,NA,-28.55,16.4333,63.16,61,54,11.23,broken clouds
337,Yatou,CN,37.15,122.3833,67.35,93,100,4.59,light rain
338,Varna,BG,43.2167,27.9167,75.15,73,0,0.0,clear sky
339,Beyneu,KZ,45.3167,55.2,67.33,35,92,17.2,overcast clouds
340,Yeppoon,AU,-23.1333,150.7333,80.38,71,1,11.34,clear sky
341,Mecca,SA,21.4267,39.8261,93.97,35,50,7.18,scattered clouds
342,Taoudenni,ML,22.6783,-3.9836,94.05,8,6,10.67,clear sky
343,Ainazi,LV,57.8636,24.3578,53.04,72,10,11.56,clear sky
344,Eyemouth,GB,55.8713,-2.0901,61.84,88,84,5.01,broken clouds
345,Marsabit,KE,2.3284,37.9899,74.3,43,1,21.16,clear sky
346,Kiama,AU,-34.6833,150.8667,57.0,64,88,8.66,overcast clouds
