City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Napasar,IN,94.59,clear sky,27.9667,73.55,Laxmi Palace
410,Tikapur,NP,88.97,broken clouds,28.5,81.1333,BANANA AGRO RESORT
413,Sarangani,PH,84.09,broken clouds,5.4033,125.4636,Ballistic Islet
416,Funtua,NG,76.51,broken clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
429,Trincomalee,LK,88.5,overcast clouds,8.5711,81.2335,Welcombe Hotel
430,Mubi,NG,79.27,overcast clouds,10.2676,13.2644,Hotel
436,Yulara,AU,91.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
438,Natal,BR,75.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
439,Karratha,AU,84.43,clear sky,-20.7377,116.8463,ibis Styles Karratha
446,Mogadishu,SO,80.91,few clouds,2.0371,45.3438,Hotel Juba
450,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
451,Weligama,LK,82.36,heavy intensity rain,5.9667,80.4167,Weligama Bay Resort
452,Veraval,IN,83.21,scattered clouds,20.9,70.3667,Lords Inn Somnath
453,Buala,SB,81.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
455,Lorengau,PG,82.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Kashi,CN,78.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
464,Chake Chake,TZ,84.07,overcast clouds,-5.2459,39.7666,Hotel Archipelago
465,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
468,Coxim,BR,80.02,clear sky,-18.5067,-54.76,Hotel Avenida
480,Uruzgan,AF,85.57,clear sky,32.8333,66.0,
482,Guane,CU,75.78,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
483,Le Port,RE,79.61,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
486,Ajdabiya,LY,76.26,clear sky,30.7554,20.2263,Almadina Hotel
493,Seoul,KR,80.17,clear sky,37.5683,126.9778,Lotte Hotel Seoul
494,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
495,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
497,Arlit,NE,93.92,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
500,Trinidad,BO,78.24,scattered clouds,-14.8333,-64.9,Hotel Piesta
501,Zhicheng,CN,94.24,clear sky,30.2956,111.5047,Wangjiang Building
506,Quang Ngai,VN,83.95,few clouds,15.1167,108.8,Central Hotel
507,Berbera,SO,92.55,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
508,Varadero,CU,75.96,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
511,Maxixe,MZ,76.82,few clouds,-23.8597,35.3472,Oceano
514,Cienaga,CO,82.06,overcast clouds,11.007,-74.2476,The Journey Hostel
516,Gorontalo,ID,85.96,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
524,Sola,VU,79.2,few clouds,-13.8833,167.55,Leumerus Bungalows
526,Mbandaka,CD,78.33,broken clouds,0.0487,18.2603,Guest House Epervier
527,Darnah,LY,76.12,clear sky,32.767,22.6367,فندق الفردوس
529,Tongzi,CN,90.57,few clouds,28.7829,105.0877,
531,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
532,Harper,LR,76.23,moderate rain,4.375,-7.7169,Screensaver
534,Aitape,PG,81.73,overcast clouds,-3.1374,142.3475,
538,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
539,Edea,CM,76.78,broken clouds,3.8,10.1333,Micotel Hotel
547,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
551,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
552,Salinopolis,BR,78.55,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
553,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
555,Manzanillo,CU,75.7,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
559,Maumere,ID,82.4,overcast clouds,-8.6199,122.2111,Sylvia Hotel
561,Kalianget,ID,84.88,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
562,Biltine,TD,88.56,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
563,Calatrava,PH,89.62,overcast clouds,10.595,123.4838,Cassandras Beach
566,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
567,Nishihara,JP,87.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
568,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
572,Carnot,CF,77.97,broken clouds,4.9409,15.8665,
575,Tanete,ID,86.22,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
577,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
581,Takoradi,GH,75.78,light rain,4.8845,-1.7554,Raybow International Hotel
582,Kalabo,ZM,87.39,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
583,Porto Torres,IT,82.09,overcast clouds,40.835,8.3972,Hotel Elisa
584,Kaoma,ZM,86.13,clear sky,-14.7833,24.8,KAOMA AIRPORT
586,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
588,Gizo,SB,82.62,overcast clouds,-8.103,156.8419,Imagination Island
589,Sur,OM,93.7,clear sky,22.5667,59.5289,Sur Plaza Hotel
590,Magugu,TZ,80.47,broken clouds,-4.0167,35.7667,
591,Simbahan,PH,83.7,scattered clouds,6.3032,120.5836,
592,Candelaria,PH,89.38,broken clouds,13.9311,121.4233,Casa de Provincia
593,Igurusi,TZ,81.0,broken clouds,-8.85,33.85,Dadi Lodge
598,Fare,PF,79.38,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
599,Trairi,BR,79.05,overcast clouds,-3.2778,-39.2689,janelas do mar
602,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
606,Puebloviejo,CO,81.1,overcast clouds,10.9938,-74.2844,The Journey Hostel
607,Manado,ID,90.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
611,Namwala,ZM,82.53,clear sky,-15.7504,26.4384,Corner Point Lodge
612,Salawagan,PH,82.09,broken clouds,7.7053,125.115,Violeta B. Cardona
613,Pokhara,NP,84.02,broken clouds,28.2333,83.9833,Butterfly Lodge
614,Lenger,KZ,85.44,clear sky,42.183,69.8839,Gostevoy Dom 1
615,Qui Nhon,VN,83.17,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
618,Bardiyah,LY,75.81,clear sky,31.7561,25.0865,بورتو بردية
619,Ndende,GA,78.69,light rain,-2.4008,11.3581,
624,Nyimba,ZM,87.28,few clouds,-14.5566,30.8149,Dali Dali Lodge
625,Khonsa,IN,83.79,scattered clouds,27.0167,95.5667,
627,Surt,LY,75.72,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
630,Dharchula,IN,82.0,few clouds,29.85,80.5333,Mahara Hotel
632,Panzhihua,CN,85.19,broken clouds,26.5851,101.7128,Electric Power Hotel
634,Bac Lieu,VN,85.01,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
635,Luba,GQ,80.49,light rain,3.4568,8.5547,
636,Marmaris,TR,80.55,few clouds,36.855,28.2742,Hawaii Hotel
638,Luangwa,ZM,85.71,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
642,French Harbor,HN,81.0,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
645,Vryburg,ZA,85.24,clear sky,-26.9566,24.7284,Times Premier Lodge
647,Sabzevar,IR,85.28,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
650,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
654,Sortino,IT,76.37,few clouds,37.1566,15.026,casa nonna Gisaria
655,Robstown,US,76.75,clear sky,27.7903,-97.6689,Days Inn by Wyndham Robstown
656,Nsanje,MW,91.0,clear sky,-16.92,35.262,Nsanje Discovery Lodge
670,Atar,MR,91.31,few clouds,20.5169,-13.0499,Oumou Elghoura
673,Itarema,BR,78.04,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
