City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Manoel Urbano,BR,2021-09-21 21:25:33,-8.8389,-69.2597,76.35,79,90,3.18
156,Kodiak,US,2021-09-21 21:25:33,57.79,-152.4072,49.51,27,1,25.32
157,Mahajanga,MG,2021-09-21 21:25:33,-15.7167,46.3167,71.62,78,20,3.44
158,Luanda,AO,2021-09-21 21:25:34,-8.8368,13.2343,73.4,83,40,9.22
159,Taoudenni,ML,2021-09-21 21:25:34,22.6783,-3.9836,100.94,7,0,9.71
160,Sarnen,CH,2021-09-21 21:25:34,46.8985,8.2507,58.71,84,75,3.44
161,Itaituba,BR,2021-09-21 21:25:35,-4.2761,-55.9836,93.36,59,20,2.51
162,Iqaluit,CA,2021-09-21 21:25:35,63.7506,-68.5145,33.53,93,90,5.75
163,Isangel,VU,2021-09-21 21:25:35,-19.55,169.2667,77.11,65,20,5.75
164,Souillac,MU,2021-09-21 21:25:36,-20.5167,57.5167,70.18,68,40,11.5
165,Kosh-Agach,RU,2021-09-21 21:25:36,50.0,88.6667,26.6,70,72,2.33
166,Ndioum,SN,2021-09-21 21:25:18,16.5129,-14.6471,89.49,32,20,11.3
167,Xingyi,CN,2021-09-21 21:25:36,24.1877,102.817,57.07,95,32,1.59
168,Marfino,RU,2021-09-21 21:25:37,55.7028,37.3822,43.05,93,90,11.18
169,Vengerovo,RU,2021-09-21 21:25:37,55.6848,76.7471,36.43,97,100,10.63
170,Havelock,US,2021-09-21 21:25:38,34.8791,-76.9013,82.38,81,1,1.99
171,Ituacu,BR,2021-09-21 21:25:38,-13.8133,-41.2967,82.13,31,6,3.4
172,La Ronge,CA,2021-09-21 21:21:47,55.1001,-105.2842,59.25,63,90,5.75
173,Nakur,IN,2021-09-21 21:25:38,29.9167,77.3,74.35,91,43,5.44
174,Kaluga,RU,2021-09-21 21:25:39,54.5,35.5,44.11,98,100,6.08
175,Mahbubnagar,IN,2021-09-21 21:25:39,16.7333,77.9833,72.36,91,100,2.91
176,Coquimbo,CL,2021-09-21 21:25:40,-29.9533,-71.3436,56.93,76,75,10.36
177,Komsomolskiy,UZ,2021-09-21 21:25:40,40.4272,71.7189,63.32,45,0,6.91
178,Lazaro Cardenas,MX,2021-09-21 21:25:40,17.9583,-102.2,84.18,73,100,9.62
179,Kutum,SD,2021-09-21 21:25:11,14.2,24.6667,84.25,31,96,7.27
180,Shkoder,AL,2021-09-21 21:25:41,42.0683,19.5126,66.38,77,0,4.97
181,Bambous Virieux,MU,2021-09-21 21:25:41,-20.3428,57.7575,70.05,68,40,11.5
182,Comodoro Rivadavia,AR,2021-09-21 21:24:16,-45.8667,-67.5,64.26,42,0,5.75
